school,indexes,spells,shared_people,contradictions,status
University of New Orleans / Office of the President,adminleaders + r2public,adminleaders:2 r2public:8,1,0,needs_review
University of North Florida / Office of the President,adminleaders + r2public,adminleaders:3 r2public:12,0,0,needs_review
University of Northern Colorado / Office of the President,adminleaders + r2public,adminleaders:3 r2public:10,0,0,needs_review
University of Phoenix-Arizona / Office of the President,adminleaders + r2public,adminleaders:1 r2public:7,0,0,needs_review
University of San Diego / Office of the President,adminleaders + r2public,adminleaders:1 r2public:3,0,0,needs_review
University of South Alabama / Office of the President,adminleaders + r2public,adminleaders:3 r2public:6,0,0,needs_review
University of South Dakota / Office of the President,adminleaders + r2public,adminleaders:5 r2public:3,0,0,needs_review
University of St. Francis / Office of the President,adminleaders + r2public,adminleaders:1 r2public:4,0,0,needs_review
University of St. Thomas (Minnesota) / Office of the President,adminleaders + r2public,adminleaders:4 r2public:3,0,0,needs_review
University of the Cumberlands / Office of the President,adminleaders + r2public,adminleaders:3 r2public:3,0,0,needs_review
University of the Incarnate Word / Office of the President,adminleaders + r2public,adminleaders:1 r2public:3,0,0,needs_review
University of the Pacific / Office of the President,adminleaders + r2public,adminleaders:5 r2public:4,0,0,needs_review
University of Tulsa / Office of the President,adminleaders + r2public,adminleaders:4 r2public:10,0,0,needs_review
University of West Florida / Office of the President,adminleaders + r2public,adminleaders:3 r2public:6,0,0,needs_review
Valdosta State University / Office of the President,adminleaders + r2public,adminleaders:2 r2public:9,0,0,needs_review
Valparaiso University / Office of the President,adminleaders + r2public,adminleaders:1 r2public:5,0,0,needs_review
Villanova University / Office of the President,adminleaders + r2public,adminleaders:7 r2public:2,0,0,needs_review
Wake Forest University / Office of the President,r2public + university,r2public:5 university:3,3,0,known_carnegie_vintage_overlap
Walsh University / Office of the President,adminleaders + r2public,adminleaders:4 r2public:4,0,0,needs_review
Wartburg College / Office of the President,adminleaders + lac,adminleaders:1 lac:5,0,0,needs_review
Washington and Lee University / Office of the President,adminleaders + lac,adminleaders:1 lac:5,0,0,needs_review
Wellesley College / Office of the President,adminleaders + lac,adminleaders:1 lac:3,0,0,needs_review
Wesleyan University / Office of the President,adminleaders + lac,adminleaders:1 lac:2,0,0,needs_review
Western Michigan University / Office of the President,adminleaders + r2public,adminleaders:3 r2public:9,0,0,needs_review
Western New England University / Office of the President,adminleaders + r2public,adminleaders:3 r2public:4,0,0,needs_review
Westminster College (Missouri) / Office of the President,adminleaders + lac,adminleaders:3 lac:6,0,0,needs_review
Whittier College / Office of the President,adminleaders + lac,adminleaders:1 lac:6,0,0,needs_review
Wichita State University / Office of the President,adminleaders + r2public,adminleaders:2 r2public:6,0,0,needs_review
Widener University / Office of the President,adminleaders + r2public,adminleaders:3 r2public:5,0,0,needs_review
Wilkes University / Office of the President,adminleaders + r2public,adminleaders:1 r2public:6,0,0,needs_review
William Carey University / Office of the President,adminleaders + r2public,adminleaders:1 r2public:5,0,0,needs_review
William Woods University / Office of the President,adminleaders + r2public,adminleaders:3 r2public:3,0,0,needs_review
Williams College / Office of the President,adminleaders + lac,adminleaders:5 lac:7,0,0,needs_review
Wilmington University / Office of the President,adminleaders + r2public,adminleaders:1 r2public:3,0,0,needs_review
Wingate University / Office of the President,adminleaders + r2public,adminleaders:1 r2public:2,0,0,needs_review
Wittenberg University / Office of the President,adminleaders + lac,adminleaders:1 lac:7,0,0,needs_review
Wright State University / Office of the President,adminleaders + r2public,adminleaders:1 r2public:6,0,0,needs_review
Xavier University / Office of the President,adminleaders + r2public,adminleaders:1 r2public:3,0,0,needs_review
Yeshiva University / Office of the President,adminleaders + r2public,adminleaders:2 r2public:6,0,0,needs_review
