seat_id,institution_id,canonical_name,indexes,unit_type_kept,unit_type_discarded,rule,needs_review
US-UNIVERSITY-OF-CALIFORNIA-RIVERSIDE-D-COLLEGE-OF-NATURAL-AND-AGRICULTURAL-SCIENCES,US-UNIVERSITY-OF-CALIFORNIA-RIVERSIDE,College of Natural and Agricultural Sciences,r1-agschool-deans.json + r1-arts-deans.json + r1-arts-deans.json,agriculture,arts_sciences,first index in SEATS order supplies classification; spells from both are kept,TRUE
US-NEW-YORK-UNIVERSITY-D-TISCH-SCHOOL-OF-THE-ARTS,US-NEW-YORK-UNIVERSITY,Tisch School of the Arts,r1-camd-deans.json + r1-arts-deans.json + r1-arts-deans.json,creative_arts,arts_sciences,first index in SEATS order supplies classification; spells from both are kept,TRUE
US-NORTHWESTERN-UNIVERSITY-D-SCHOOL-OF-COMMUNICATION,US-NORTHWESTERN-UNIVERSITY,School of Communication,r1-camd-deans.json + r1-arts-deans.json + r1-arts-deans.json,creative_arts,arts_sciences,first index in SEATS order supplies classification; spells from both are kept,TRUE
US-NORTHEASTERN-UNIVERSITY-D-COLLEGE-OF-ARTS-MEDIA-AND-DESIGN,US-NORTHEASTERN-UNIVERSITY,"College of Arts, Media and Design",r1-arts-deans.json + r1-camd-deans.json + r1-camd-deans.json,arts_sciences,creative_arts,first index in SEATS order supplies classification; spells from both are kept,TRUE
US-COLUMBIA-UNIVERSITY-D-SCHOOL-OF-THE-ARTS,US-COLUMBIA-UNIVERSITY,School of the Arts,r1-arts-deans.json + r1-camd-deans.json + r1-camd-deans.json,arts_sciences,creative_arts,first index in SEATS order supplies classification; spells from both are kept,TRUE
